"ANNOTATOR"	"ORCID"
acerquone	0000-0002-6907-5364
alessandro	0000-0003-1300-5479
Alessandro Palma	0000-0003-1300-5479
amattioni	
Andrea	0000-0002-6907-5364
andrea cerquone perpetuini	0000-0002-6907-5364
Andrea Cerquone Perpetuini	0000-0002-6907-5364
apalma	0000-0003-1300-5479
areggio	0000-0001-5333-7502
azuccotti	
esanto	0000-0002-3897-8990
Federica Ferrentino	0000-0001-7947-6818
fferrentino	0000-0001-7947-6818
FFerrentino	0000-0001-7947-6818
flangone	0000-0002-3623-3004
fspada	0000-0002-8063-3953
fstefani	
gcesareni	0000-0002-9528-6018
ggiuliani	0000-0002-4648-0076
Giulio Giuliani	0000-0002-4648-0076
giulio giuliani	0000-0002-4648-0076
irozzo	
lbriganti	
llicata	0000-0001-5084-9000
lperfetto	0000-0003-4392-8725
lpetrilli	0000-0001-6453-3031
Luana	0000-0001-5084-9000
luana	0000-0001-5084-9000
mainnu	0000-0002-2374-3531
MARCO ROSINA	0000-0003-0952-1710
miannu	0000-0002-2374-3531
MIANNU	0000-0002-2374-3531
mianu	0000-0002-2374-3531
mianuu	0000-0002-2374-3531
milica	0000-0002-5868-9539
mrosina	0000-0003-0952-1710
Simone Vumbaca	0000-0003-1940-3355
simone vumbaca	0000-0003-1940-3355
svumbaca	0000-0003-1940-3355
tpavlidou	0000-0002-5816-7423
